CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BANIOS;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA
        CAFAYATE;5200;65;40000;615,4;17;3;2;50;;;;;;0;SI;;;;ARGENPROP.COM/VILLALUGANO;5200 CAFAYATE;CAFAYATE;100;L;VILLA LUGANO;8;8.991.811.686;4
        POLA;500;54;100000;1851,9;PB;2;1;;A ESTRENAR;FRENTE;;;;1;SI;;;;ARGENPROP.COM/VILLALURO;500 POLA;POLA;100;L;LINIERS;9;4.374.207.539;3
        URIBURU JOSE E. PRES.;200;166;198000;1192,8;;4;3;;;FRENTE;;;;2;;;BALCON TERRAZA;;INMUEBLESCLARIN.COM/BALVANERA;200 URIBURU JOSE E. PRES.;PRESIDENTE JOSE EVARISTO URIBURU;91;L;BALVANERA;3;4.341.063.997;3
        RAMOS MEJIA;1000;30;78000;2600;2;2;1;40;;LATERAL;;;;0;;;;;ZONAPROP.COM_PARQUE CENTENARIO;1000 RAMOS MEJIA;RAMOS MEJIA;100;L;CABALLITO;6;6.851.079.059;3
        HERNANDEZ, JOSE;2000;230;690000;3000;;5;4;45;;FRENTE;;;;5;;;;;INMUEBLESCLARIN.COM/BELGRANO;2000 HERNANDEZ, JOSE;JOSE HERNANDEZ;95;L;BELGRANO;13;7.929.988.805;2
        SARMIENTO;4300;85;148000;1741,2;;2;2;45;;CONTRAFRENTE;;;;1;SI;SI;BALCON;;ARGENPROP.COM/ALMAGRO;4300 SARMIENTO;AV. SARMIENTO;100;L;ALMAGRO;5;4.051.222.618;3
        VITTORIA FRANCISCO DE;2300;250;700000;2800;;4;3;50;;FRENTE;;SI;SI;0;SI;SI;;;INMUEBLESCLARIN.COM/BARIO NORTE;2300 VITTORIA FRANCISCO DE;FRANCISCO DE VITTORIA;37;;RECOLETA;2;6.146.826.409;2
        PASO;400;27;52900;1959,3;9;1;1;50;;FRENTE;;;;1;;;TERRAZA;;BUSCAINMUEBLE/ONCE;400 PASO;PASO;100;L;BALVANERA;3;4.341.063.997;3
        SEGUI JUAN FRANCISCO;4600;300;850000;2833,3;5;4;4;28;;FRENTE;PISO;SI;SI;4;;;BALCON;;ARGENPROP.COM/PALERMO;4600 SEGUI JUAN FRANCISCO;JUAN FRANCISCO SEGUI;96;L;PALERMO;14;15.773.573.191;2
        DIRECTORIO;3500;71;108000;1521,1;;3;2;;A ESTRENAR;FRENTE;;;;0;SI;SI;;;ZONAPROP.COM_PARQUE AVELLANEDA;3500 DIRECTORIO;AV. DIRECTORIO;100;L;PARQUE AVELLANEDA;9;5.034.992.076;4
